accident_id,occr_date,daynight,wday,assault,damaged,assault_id,damaged_id,location_id,violation_id,road_type_l_id,road_type_id,acc_type_l_id,acc_type_id,acc_type_id,acc_type_l_id,acc_type,acc_type_l_id,acc_type_l,assault_id,assault,accident_id,death,serious,injured,slight,wound,damaged_id,damaged,violation_id,violation,road_type_id,road_type_l_id,road_form,road_type_l_id,road_form_l,accident_id,assault_id,damaged_id,location_id,sido,sgg,weather_id,area_id,area_nm,measure_dt,temperature,rainfall,wind_speed,wind_direction,humidity,snow_drifts,ground_temperature
29916,00:00.0,1,금,화물차,이륜차,8,14,68,13,5,6,3,18,18,3,측면직각충돌,3,차대차,8,화물차,29916,1,3,2,0,0,14,이륜차,13,차로위반(진로변경 위반),6,5,기타단일로,5,단일로,29916,8,14,68,광주,광주,269309,156,광주,00:00.0,28.3,0,3.2,360,43,0,35.4
33013,00:00.0,2,일,승용차,보행자,10,1,68,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,33013,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,33013,10,1,68,광주,광주,269531,156,광주,00:00.0,19.6,0,2.6,20,89,0,21.3
22609,00:00.0,1,토,화물차,보행자,8,1,29,20,5,6,4,15,15,2,기타,4,차대사람,8,화물차,22609,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,22609,8,1,29,부산,부산,272573,159,부산,00:00.0,7.8,0,2.3,320,12,0,14.3
24316,00:00.0,2,목,화물차,보행자,8,1,29,20,5,6,4,9,9,4,횡단중,4,차대사람,8,화물차,24316,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24316,8,1,29,부산,부산,273018,159,부산,00:00.0,-8.8,0,4.2,290,36,0,-8.7
24501,00:00.0,2,일,화물차,보행자,8,1,29,20,5,6,4,9,9,4,횡단중,4,차대사람,8,화물차,24501,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24501,8,1,29,부산,부산,273104,159,부산,00:00.0,3.7,0,1.7,290,50,0,0.4
23271,00:00.0,1,화,이륜차,0,7,17,29,20,1,9,2,20,20,2,공작물충돌,2,차량단독,7,이륜차,23271,1,1,0,0,0,17,0,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,23271,7,17,29,부산,부산,275665,159,부산,00:00.0,24.5,0,3.3,110,45,0,41.6
22965,00:00.0,2,일,승합차,보행자,2,1,29,20,5,16,4,9,9,4,횡단중,4,차대사람,2,승합차,22965,2,2,0,0,0,1,보행자,20,안전운전 의무 불이행,16,5,횡단보도부근,5,단일로,22965,2,1,29,부산,부산,275795,159,부산,00:00.0,21,0,1.4,230,52,0,20
29045,00:00.0,1,일,승용차,승용차,10,16,29,19,5,6,3,12,12,3,주정차중 추돌,3,차대차,10,승용차,29045,1,2,1,0,0,16,승용차,19,안전거리 미확보,6,5,기타단일로,5,단일로,29045,10,16,29,부산,부산,279479,159,부산,00:00.0,19.3,0,2,320,53,0,20.3
27604,00:00.0,2,목,승용차,보행자,10,1,29,20,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,27604,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,27604,10,1,29,부산,부산,279737,159,부산,00:00.0,9.4,0,3.2,250,55,0,6.8
29032,00:00.0,2,목,승용차,보행자,10,1,29,20,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,29032,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,29032,10,1,29,부산,부산,280257,159,부산,00:00.0,6.4,0,1.4,340,34,0,3.4
25647,00:00.0,2,토,승용차,0,10,17,29,20,5,6,2,20,20,2,공작물충돌,2,차량단독,10,승용차,25647,1,2,0,0,1,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25647,10,17,29,부산,부산,280475,159,부산,00:00.0,-0.5,0,3.1,360,64,0,-0.1
29570,00:00.0,1,금,화물차,0,8,17,115,20,1,9,2,20,20,2,공작물충돌,2,차량단독,8,화물차,29570,1,1,0,0,0,17,0,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,29570,8,17,115,경남,통영,288050,162,통영,00:00.0,20.3,0,1.9,70,42,0,31.7
27129,00:00.0,1,토,승용차,보행자,10,1,141,15,5,6,4,7,7,4,보도통행중,4,차대사람,10,승용차,27129,1,1,0,0,0,1,보행자,15,기타(운전자법규위반),6,5,기타단일로,5,단일로,27129,10,1,141,전남,목포,295673,165,목포,00:00.0,19.2,0,0.9,90,95,0,19.4
28287,00:00.0,2,금,승용차,보행자,10,1,3,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,28287,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,28287,10,1,3,전남,여수,305286,168,여수,00:00.0,20.7,0,1.2,290,79,0,20.1
23035,00:00.0,1,월,승용차,원동기장치자전거,10,2,43,3,5,6,3,15,15,2,기타,3,차대차,10,승용차,23035,1,2,0,1,0,2,원동기장치자전거,3,중앙선 침범,6,5,기타단일로,5,단일로,23035,10,2,43,전남,완도,319888,170,완도,00:00.0,20.6,0,1.6,140,68,0,23.4
25895,00:00.0,2,목,화물차,보행자,8,1,74,20,1,11,4,9,9,4,횡단중,4,차대사람,8,화물차,25895,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,11,1,교차로부근,1,교차로,25895,8,1,74,전북,고창,332281,172,고창,00:00.0,7.8,0,2.9,20,73,0,8.1
26365,00:00.0,1,금,이륜차,0,7,17,55,20,5,6,2,15,15,2,기타,2,차량단독,7,이륜차,26365,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,26365,7,17,55,제주,제주,353439,184,제주,00:00.0,14.6,0,5.8,270,91,0,15.4
23954,00:00.0,1,월,화물차,특수차,8,8,24,20,5,6,3,18,18,3,측면직각충돌,3,차대차,8,화물차,23954,1,1,0,0,0,8,특수차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,23954,8,8,24,제주,서귀포,379856,189,서귀포,00:00.0,18.2,0,4.1,180,66,0,30.6
24144,00:00.0,2,일,승용차,보행자,10,1,86,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,24144,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24144,10,1,86,경남,진주,387279,192,진주,00:00.0,-0.7,0,0.2,0,75,0,-0.8
24333,00:00.0,2,일,승용차,0,10,17,86,20,5,6,2,15,15,2,기타,2,차량단독,10,승용차,24333,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24333,10,17,86,경남,진주,387933,192,진주,00:00.0,3.9,0,1.5,70,67,0,1.6
27400,00:00.0,1,목,화물차,보행자,8,1,86,7,1,11,4,9,9,4,횡단중,4,차대사람,8,화물차,27400,1,1,0,0,0,1,보행자,7,보행자 보호의무 위반,11,1,교차로부근,1,교차로,27400,8,1,86,경남,진주,394426,192,진주,00:00.0,9.6,0,1.7,160,33,0,13.1
23758,00:00.0,2,수,승용차,0,10,17,144,20,5,6,2,8,8,2,도로이탈 추락,2,차량단독,10,승용차,23758,1,3,0,1,1,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,23758,10,17,144,경기,이천,414831,203,이천,00:00.0,6.8,0,0.7,270,76,0,5.8
25630,00:00.0,2,화,승용차,0,10,17,144,20,5,6,2,8,8,2,도로이탈 추락,2,차량단독,10,승용차,25630,1,2,1,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25630,10,17,144,경기,이천,416994,203,이천,00:00.0,17.7,0,1.1,50,73,0,17.5
25002,00:00.0,1,금,승용차,승용차,10,16,144,19,5,6,3,15,15,2,기타,3,차대차,10,승용차,25002,1,2,0,1,0,16,승용차,19,안전거리 미확보,6,5,기타단일로,5,단일로,25002,10,16,144,경기,이천,417076,203,이천,00:00.0,31,0,3.2,230,34,0,46.7
27753,00:00.0,1,토,이륜차,0,7,17,27,20,5,4,2,20,20,2,공작물충돌,2,차량단독,7,이륜차,27753,1,1,0,0,0,17,0,20,안전운전 의무 불이행,4,5,교량위,5,단일로,27753,7,17,27,강원,인제,428069,211,인제,00:00.0,16.5,0,1.4,180,54,0,19
23248,00:00.0,1,금,화물차,보행자,8,1,130,15,5,6,4,7,7,4,보도통행중,4,차대사람,8,화물차,23248,1,1,0,0,0,1,보행자,15,기타(운전자법규위반),6,5,기타단일로,5,단일로,23248,8,1,130,강원,홍천,433462,212,홍천,00:00.0,15.5,0,1.3,50,56,0,25.1
27790,00:00.0,1,토,승용차,0,10,17,130,20,5,6,2,8,8,2,도로이탈 추락,2,차량단독,10,승용차,27790,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,27790,10,17,130,강원,홍천,436506,212,홍천,00:00.0,16.6,0,0.5,320,92,0,17.9
25553,00:00.0,2,토,화물차,건설기계,8,18,113,20,5,6,3,12,12,3,주정차중 추돌,3,차대차,8,화물차,25553,1,2,1,0,0,18,건설기계,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25553,8,18,113,강원,정선군,455593,217,정선군,00:00.0,5.2,0,7.7,20,44,0,4.2
24062,00:00.0,1,일,화물차,보행자,8,1,4,20,1,9,4,15,15,2,기타,4,차대사람,8,화물차,24062,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,24062,8,1,4,충북,제천,458686,221,제천,00:00.0,4.6,0,4.4,250,28,0,12
26383,00:00.0,1,목,화물차,화물차,8,15,132,20,5,6,3,12,12,3,주정차중 추돌,3,차대차,8,화물차,26383,1,1,0,0,0,15,화물차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,26383,8,15,132,충남,천안,474494,232,천안,00:00.0,-1.7,0,2.4,110,51,0,4
